Public Title of Study,Acne vulgaris,Acute hepatitis,Acute lymphoid leukemia,Acute myeloid leukemia,Age-related and other hearing loss,Age-related macular degeneration,Alcohol use disorders,Alcoholic cardiomyopathy,Alzheimer's disease and other dementias,Anorexia nervosa,Anxiety disorders,Appendicitis,Asbestosis,Ascariasis,Asthma,Atopic dermatitis,Atrial fibrillation and flutter,Attention-deficit/hyperactivity disorder,Autism spectrum disorders,Bacterial skin diseases,Benign prostatic hyperplasia,Bipolar disorder,Bladder cancer,Blindness and vision loss,Brain and central nervous system cancer,Breast cancer,Bulimia nervosa,Cannabis use disorders,Cardiomyopathy and myocarditis,Cardiovascular diseases,Cataract,Cellulitis,Cervical cancer,Chagas disease,Chlamydial infection,Chronic kidney disease,Chronic lymphoid leukemia,Chronic myeloid leukemia,Chronic obstructive pulmonary disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Cocaine use disorders,Colon and rectum cancer,Conduct disorder,Conflict and terrorism,Congenital birth defects,Congenital heart anomalies,Congenital musculoskeletal and limb anomalies,Contact dermatitis,Cutaneous and mucocutaneous leishmaniasis,Cyclist road injuries,Cystic echinococcosis,Cysticercosis,Decubitus ulcer,Dengue,Depressive disorders,Dermatitis,Diabetes and kidney diseases,Diabetes mellitus,Diarrheal diseases,Dietary iron deficiency,Digestive congenital anomalies,Digestive diseases,Diphtheria,Down syndrome,Drowning,Drug use disorders,Dysthymia,Eating disorders,Ebola,Ectopic pregnancy,Edentulism and severe tooth loss,Encephalitis,Endocarditis,"Endocrine, metabolic, blood, and immune disorders",Endometriosis,Enteric infections,Environmental heat and cold exposure,Esophageal cancer,Executions and police conflict,Exposure to forces of nature,Exposure to mechanical forces,Falls,Female infertility,"Fire, heat, and hot substances",Food-borne trematodiases,Foreign body,Foreign body in eyes,Foreign body in other body part,Fungal skin diseases,G6PD deficiency,G6PD trait,Gallbladder and biliary diseases,Gallbladder and biliary tract cancer,Gastritis and duodenitis,Gastroesophageal reflux disease,Genital herpes,Genital prolapse,Glaucoma,Gonococcal infection,Gout,Guinea worm disease,Gynecological diseases,Headache disorders,Hemoglobinopathies and hemolytic anemias,Hemolytic disease and other neonatal jaundice,HIV/AIDS,Hodgkin lymphoma,Hookworm disease,Hypertensive heart disease,Idiopathic developmental intellectual disability,Idiopathic epilepsy,Inflammatory bowel disease,"Inguinal, femoral, and abdominal hernia",Interpersonal violence,Interstitial lung disease and pulmonary sarcoidosis,Intestinal nematode infections,Intracerebral hemorrhage,Invasive Non-typhoidal Salmonella (iNTS),Iodine deficiency,Ischemic heart disease,Ischemic stroke,Kidney cancer,Klinefelter syndrome,Larynx cancer,Leishmaniasis,Leprosy,Leukemia,Lip and oral cavity cancer,Liver cancer,Low back pain,Lymphatic filariasis,Major depressive disorder,Malaria,Male infertility,Malignant skin melanoma,Maternal abortion and miscarriage,Maternal and neonatal disorders,Maternal disorders,Maternal hemorrhage,Maternal hypertensive disorders,Maternal obstructed labor and uterine rupture,Maternal sepsis and other maternal infections,Measles,Meningitis,Mental disorders,Mesothelioma,Migraine,Motor neuron disease,Motor vehicle road injuries,Motorcyclist road injuries,Multiple myeloma,Multiple sclerosis,Musculoskeletal disorders,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",Myocarditis,Nasopharynx cancer,Near vision loss,Neck pain,Neglected tropical diseases and malaria,Neonatal disorders,Neonatal encephalopathy due to birth asphyxia and trauma,Neonatal preterm birth,Neonatal sepsis and other neonatal infections,Neoplasms,Neural tube defects,Neurological disorders,Non-Hodgkin lymphoma,Non-melanoma skin cancer,Non-melanoma skin cancer (basal-cell carcinoma),Non-melanoma skin cancer (squamous-cell carcinoma),Non-rheumatic calcific aortic valve disease,Non-rheumatic degenerative mitral valve disease,Non-rheumatic valvular heart disease,Non-venomous animal contact,Nutritional deficiencies,Onchocerciasis,Opioid use disorders,Oral disorders,Orofacial clefts,Osteoarthritis,Otitis media,Ovarian cancer,Pancreatic cancer,Pancreatitis,Paralytic ileus and intestinal obstruction,Parkinson's disease,Pedestrian road injuries,Peptic ulcer disease,Periodontal diseases,Peripheral artery disease,Pneumoconiosis,Poisonings,Polycystic ovarian syndrome,Premenstrual syndrome,Prostate cancer,Protein-energy malnutrition,Pruritus,Psoriasis,Pulmonary aspiration and foreign body in airway,Pyoderma,Rabies,Refraction disorders,Respiratory infections,Rheumatic heart disease,Rheumatoid arthritis,Road injuries,Scabies,Schistosomiasis,Schizophrenia,Seborrhoeic dermatitis,Sense organ diseases,Sexually transmitted infections excluding HIV,Sickle cell disorders,Sickle cell trait,Silicosis,Skin and subcutaneous diseases,Stomach cancer,Stroke,Subarachnoid hemorrhage,Substance use disorders,Syphilis,Tension-type headache,Testicular cancer,Tetanus,Thalassemias,Thalassemias trait,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Trachoma,Transport injuries,Trichomoniasis,Trichuriasis,Tuberculosis,Turner syndrome,Typhoid and paratyphoid,Unintentional firearm injuries,Unintentional injuries,Upper digestive system diseases,Urinary diseases and male infertility,Urinary tract infections,Urogenital congenital anomalies,Urolithiasis,Urticaria,Uterine cancer,Uterine fibroids,Varicella and herpes zoster,Vascular intestinal disorders,Venomous animal contact,Viral skin diseases,Visceral leishmaniasis,Vitamin A deficiency,Whooping cough,Yellow fever,Zika virus
Study on complications of diabetes and risk of heart attack,38,53,35,36,39,41,43,42,41,38,35,50,40,40,33,53,45,40,48,43,29,38,29,36,33,38,40,50,37,48,38,50,40,50,35,41,36,38,41,46,45,52,48,44,50,38,42,33,50,34,48,24,23,40,33,30,40,54,65,39,48,37,50,40,38,25,39,36,31,20,41,38,50,42,35,38,44,47,41,57,39,34,20,28,39,42,50,40,23,40,40,40,41,33,38,29,43,31,50,40,25,42,41,44,40,34,38,25,44,46,27,42,38,31,27,31,50,25,42,41,45,42,38,35,38,38,43,38,35,42,46,40,32,29,38,35,42,42,39,24,42,33,44,29,40,44,42,50,45,33,38,38,28,24,32,55,33,44,44,37,39,33,41,40,44,37,27,25,42,36,40,37,36,43,41,29,36,35,43,44,36,50,43,41,50,37,42,38,35,50,29,36,50,31,28,40,37,38,56,40,25,67,35,50,43,33,46,57,33,23,36,40,29,33,29,44,37,38,36,32,30,38,33,41,43,33,33,36,36,50,39,32,26,25,33,35,33,27,39,43,50,29,50,44,36,44,34,31,35,37,41,25,21,26,50
Quality and outcomes in global cancer surgery.,46,40,30,32,32,34,39,33,36,50,56,33,20,40,33,29,48,30,29,43,21,25,64,40,51,62,41,37,37,26,38,50,60,36,45,27,28,25,30,37,38,43,70,45,50,29,38,38,33,34,43,38,38,40,33,30,40,36,41,39,39,33,22,30,38,38,39,33,38,40,24,34,50,42,38,31,39,39,59,43,32,34,40,39,29,25,35,30,29,45,40,40,31,44,38,33,29,31,50,45,75,42,36,31,52,41,38,38,25,23,36,37,31,38,45,42,40,42,31,35,27,33,54,35,69,23,43,25,58,67,38,25,28,43,44,33,39,39,33,29,26,29,27,43,40,44,42,38,30,33,38,31,44,32,31,36,50,31,33,31,39,34,36,27,33,32,36,35,38,32,38,30,39,28,30,38,36,40,43,38,43,42,64,53,42,42,37,33,25,35,26,36,30,37,48,60,41,25,24,38,38,33,35,33,22,34,46,43,33,24,23,31,33,38,47,33,37,64,50,29,35,38,38,47,43,27,28,57,42,50,39,36,26,33,40,35,40,41,31,43,40,35,42,40,50,38,41,45,39,37,36,45,29,42,30
Study of Efficacy and Safety of Two Secukinumab Dose Regimens in Subjects With Moderate to Severe Hidradenitis Suppurativa (HS),31,53,30,32,35,38,38,33,28,44,41,58,30,40,40,47,39,38,36,39,32,44,36,40,38,38,33,45,47,35,38,50,53,43,35,36,28,38,38,43,40,38,48,44,45,38,38,38,56,37,43,38,23,40,50,45,60,43,47,33,48,37,39,38,38,50,39,33,44,20,35,50,50,50,33,38,44,42,29,43,43,41,40,33,43,38,33,35,42,35,53,50,38,36,46,35,50,44,38,25,50,42,32,39,32,38,50,31,44,46,28,42,38,35,32,43,43,33,37,59,36,33,54,35,31,31,29,50,46,42,46,40,44,29,44,39,30,42,50,37,39,31,40,43,60,44,33,50,35,41,35,31,33,32,34,55,28,44,56,33,44,32,32,40,22,53,41,30,38,29,33,40,36,36,33,42,29,50,50,44,36,42,36,35,50,31,37,33,45,40,44,29,40,26,48,40,37,50,44,38,62,50,45,50,39,50,46,43,33,54,50,40,36,33,41,33,47,36,33,35,39,38,43,32,43,29,20,50,30,38,39,36,33,42,40,39,33,27,39,41,38,32,42,33,36,38,33,34,30,47,45,55,36,50,40
Amroid tablets and ointments in Piles,38,33,26,27,42,25,33,21,57,38,35,33,40,30,33,42,33,24,34,37,38,29,32,40,41,31,40,36,23,35,38,40,27,36,40,27,24,25,36,39,43,38,35,38,41,47,47,35,31,38,38,33,36,40,33,26,40,39,47,28,39,44,40,30,46,38,33,33,40,20,35,42,35,35,42,33,44,42,35,47,30,30,40,39,43,38,24,35,45,39,40,40,45,34,50,26,50,38,25,35,50,37,27,33,38,38,50,38,28,35,38,49,31,36,41,41,46,33,30,41,27,27,38,25,31,42,43,38,31,33,38,36,24,29,50,39,30,46,38,26,35,30,27,57,40,44,35,50,25,40,35,38,47,40,27,45,22,44,44,38,39,30,41,27,33,47,32,35,29,32,27,20,24,22,37,46,29,45,43,38,43,36,43,35,38,41,37,33,38,40,32,30,50,36,38,40,31,38,33,36,38,67,35,45,22,35,46,57,33,31,29,33,38,30,53,44,43,29,33,22,40,62,30,37,57,42,46,36,41,25,44,23,27,42,40,39,37,41,32,38,42,43,33,33,43,44,41,38,43,37,30,40,29,25,40
"It is a study in which the different outside risk factors like consangiunous marriage,passive smoking,number of sibling,pacifier use,overcrowding etc are questioned to the parents of the child,to finout the effect of these factors in causation of the infection of the middle ear.",46,40,30,36,24,34,29,29,33,38,24,42,30,40,33,29,42,30,28,35,36,31,29,28,38,23,33,32,23,30,12,10,27,14,20,36,36,50,32,32,36,33,22,6,18,33,27,29,6,29,24,24,23,33,0,50,20,36,35,22,26,30,28,30,31,75,39,44,6,20,35,34,25,17,24,15,28,28,24,33,32,28,0,28,46,38,42,40,26,30,20,30,25,33,21,23,21,31,12,15,0,42,32,17,28,22,50,38,31,23,33,37,31,32,36,31,33,46,42,24,36,40,31,35,23,23,29,62,23,42,38,30,40,14,38,13,30,10,6,26,23,29,31,14,20,6,25,12,40,44,23,31,28,24,26,18,28,25,56,21,6,32,23,29,33,37,27,35,25,31,29,30,30,22,33,12,21,40,7,6,36,17,36,29,42,33,37,33,35,35,40,14,30,30,33,20,26,25,22,40,38,17,10,23,30,35,8,29,20,23,32,25,38,33,41,33,30,36,50,30,35,38,43,35,14,33,28,29,33,25,22,29,33,42,33,26,23,23,29,24,29,32,25,33,29,31,33,28,35,32,27,30,43,42,40
A study to assess the usefulness of a block technique in breast surgeries in terms of pain and related hormonal changes in blood.,32,47,30,32,47,41,43,33,38,38,41,33,50,40,67,41,39,28,44,39,25,31,43,48,38,85,45,41,33,30,38,40,33,43,45,32,40,42,35,36,36,48,43,44,36,46,46,38,39,32,43,38,38,47,50,45,50,43,41,39,26,40,33,30,46,38,44,33,50,60,38,38,42,33,46,38,50,36,35,33,43,45,40,44,43,46,50,50,42,50,27,40,38,33,42,39,43,38,38,50,25,42,45,56,40,33,38,31,50,35,31,37,38,38,45,41,30,33,39,31,36,40,31,45,31,38,43,38,31,33,54,30,40,57,31,39,33,39,50,37,39,38,40,43,50,50,50,50,40,41,38,31,40,40,28,27,33,31,56,41,39,38,36,34,62,37,41,35,33,31,33,35,34,33,37,42,36,45,43,31,43,42,29,47,58,40,37,42,40,45,36,42,40,30,48,40,12,50,44,38,38,67,35,45,35,40,46,43,34,38,36,50,31,43,41,44,37,43,33,35,48,38,48,41,57,50,39,43,27,50,44,50,42,52,40,43,40,45,35,35,38,35,33,44,50,38,48,34,35,47,36,26,43,33,30
Evaluation of the association between the Gingival Line Angle with the Gingival and Interdental Smile Line among males and females.,46,47,35,36,50,47,38,29,44,38,35,26,50,60,33,35,45,35,28,43,29,44,36,60,49,38,33,36,30,35,38,50,47,36,45,36,36,38,22,39,36,43,39,31,36,42,54,40,39,39,43,29,31,33,50,35,40,39,47,44,35,57,39,50,38,38,39,33,44,40,24,41,58,42,43,46,50,36,35,40,32,41,60,61,39,38,33,45,32,60,33,40,34,28,38,32,50,50,50,45,50,42,50,39,38,36,50,38,31,43,42,37,38,49,59,45,50,46,32,41,41,33,38,45,31,46,43,38,38,42,38,35,44,43,62,39,45,39,39,37,39,36,42,71,40,50,43,50,35,37,31,38,39,28,25,45,33,44,56,41,44,41,36,44,44,42,41,40,38,36,35,35,38,42,33,33,36,35,43,50,36,43,36,41,42,43,42,38,35,50,40,36,40,33,38,40,44,27,56,45,38,50,40,41,43,36,46,43,40,31,41,50,40,48,53,44,47,36,50,37,43,38,44,39,43,50,44,36,33,38,39,43,33,33,47,35,50,55,39,43,42,58,32,22,43,44,41,41,35,53,36,35,29,42,40
Risk of heart disease with six-month use of anti-depressants (Selective Serotonin Reuptake Inhibitor),46,53,26,27,41,38,43,38,56,38,53,42,40,40,50,59,32,40,44,52,39,44,43,40,36,38,40,45,37,48,38,40,40,71,35,55,36,33,43,46,43,43,39,44,27,42,46,36,34,41,33,43,46,33,50,65,50,61,41,50,43,43,61,40,38,62,44,33,50,40,35,44,42,42,33,38,44,44,41,30,46,38,20,44,43,46,42,35,32,60,27,30,47,28,38,42,43,38,25,35,50,53,45,56,40,40,50,25,62,62,33,42,54,38,36,45,33,33,38,47,77,40,38,35,38,38,57,38,28,42,31,35,48,43,44,39,33,35,33,32,39,44,36,57,40,44,33,38,55,33,38,44,56,36,29,36,28,50,33,46,39,34,45,36,33,47,32,35,38,27,30,40,47,53,33,29,43,45,36,31,50,42,43,41,42,31,63,29,55,60,56,50,60,41,33,47,44,38,44,34,38,50,40,36,65,40,38,43,40,38,50,50,35,43,42,33,47,43,50,30,43,38,38,41,29,33,39,36,39,31,39,50,42,42,33,35,37,38,48,49,33,29,42,44,43,44,37,34,35,58,41,40,36,33,50
Usefullness of superoxide spray in wound healing,38,27,26,27,38,31,43,17,28,31,35,25,30,30,17,35,32,35,40,39,36,38,36,41,38,38,34,36,27,30,25,40,33,27,35,36,16,17,32,38,21,38,26,30,23,25,30,16,33,22,33,29,46,47,67,35,30,32,31,44,28,32,28,40,31,38,39,22,31,40,35,38,42,27,8,25,39,8,24,27,36,34,60,50,36,29,25,40,35,40,33,30,28,31,21,26,29,38,25,30,50,47,33,28,20,30,50,38,38,35,29,34,31,24,32,42,30,42,37,29,27,33,38,35,31,31,43,25,27,25,31,29,31,43,38,39,33,29,33,32,39,33,27,43,50,38,27,25,35,30,30,40,33,32,21,27,28,38,44,21,33,26,41,27,33,37,27,35,29,27,27,24,21,28,26,36,29,35,36,37,29,33,40,24,33,21,32,29,30,40,40,33,40,37,38,33,21,38,33,28,38,50,35,41,26,25,46,43,24,27,24,40,36,33,29,33,37,30,50,43,43,38,39,29,43,33,33,43,12,25,39,17,33,42,40,35,30,35,32,32,42,29,42,33,43,44,22,28,30,42,32,26,29,33,30
To evaluate efficacy and safety of Respiforb in patients with partly controlled asthma,31,60,43,36,38,38,38,42,38,38,38,42,40,30,100,47,42,33,48,35,39,38,50,32,38,54,40,36,37,39,38,40,40,29,45,41,32,33,38,43,29,38,48,38,45,46,38,42,44,37,38,33,46,33,33,40,50,36,41,39,52,37,33,40,38,38,33,67,44,40,35,41,42,35,35,31,39,39,41,40,43,38,40,56,32,29,33,35,45,35,53,40,38,39,33,39,50,38,38,35,50,42,36,28,40,29,50,38,38,46,35,47,38,27,36,34,30,33,40,53,41,40,38,35,46,38,29,50,38,42,54,45,40,29,56,30,39,35,39,37,26,31,31,29,40,38,33,38,40,37,35,38,39,28,34,38,44,38,56,44,39,30,36,25,44,37,36,35,42,33,40,40,36,44,41,33,36,35,36,44,36,42,50,47,50,43,42,33,35,40,44,36,30,41,38,47,30,38,33,36,38,50,45,59,43,50,38,57,27,31,45,40,33,38,41,44,37,43,67,35,39,25,48,41,57,42,39,36,33,38,50,36,25,25,40,39,33,32,30,49,38,45,42,33,50,38,37,31,48,42,36,50,36,42,40
